Question,Answer
"Имеет ли налогоплательщик право на имущественный налоговый вычет на основании предварительного договора купли-продажи квартиры и акта приема-передачи квартиры, если право собственности на квартиру не зарегистрировано? ","Предоставление имущественного налогового вычета связано не только с фактом осуществления налогоплательщиком расходов, но и с приобретением жилья в собственность налогоплательщика, то есть с наличием документа о регистрации права собственности налогоплательщика на готовую квартиру. По предварительному договору продажи недвижимого имущества, заключенному в целях приобретения квартиры, стороны обязуются заключить в будущем основной договор о передаче квартиры на условиях, предусмотренных предварительным договором. То есть по предварительному договору купли-продажи налогоплательщик не приобретает права требования на квартиру и квартира не передается налогоплательщику в собственность. Учитывая вышеизложенное, предварительный договор, заключенный в целях приобретения в будущем квартиры, акт приема-передачи квартиры и платежные документы, подтверждающие расходы налогоплательщика в соответствии с условиями такого договора, не являются документами, подтверждающими право налогоплательщика на получение указанного имущественного налогового вычета."
"Моя мама является инвалидом 1 группы. Ей необходимо зарегистрироваться по новому месту жительства.  Узнал, что льготникам можно заказать выезд мобильного офиса МФЦ по приёму документов на дом бесплатно. Так ли это?","По Вашему вопросу сообщаем, что бесплатное выездное обслуживание граждан на дому, предусмотрено для граждан определённых льготных категорий. Ваша мама, как инвавлид 1 группы, имеет данное право.Подать заявку на выезд специалистов мобильного офиса МФЦ  можно следующим образом:1) через личное обращение заявителя (представителя заявителя) к администраторам МФЦ;2) на официальном сайте МФЦ (www.mfc-chita.ru) –  'Заявителям'  -  'Подать заявку на выезд мобильного офиса «Мои Документы»';3) через обращение в Центр телефонного обслуживания - 8 (3022) 21-10-10. "
"Подскажите, в каких случаях необходимо вносить изменения в лесную декларацию?","На базе центра «Мои документы» ведется прием заявлений по услуге «Прием лесной декларации».  Внесение изменений в лесную декларацию в течение декларируемого периода (срок действия лесной декларации составляет не более 12 месяцев с даты начала предполагаемого срока использования лесов) осуществляется в случаях: 1) изменения условий договора аренды, или иного документа, в соответствии с которым осуществляется использование лесов; 2) внесения в установленном порядке изменений в проект освоения лесов; 3) продления сроков рубки лесных насаждений, хранения и вывоза древесины согласно правилам заготовки древесины; 4) исключения отдельных лесосек, объектов лесной инфраструктуры, лесоперерабатывающей инфраструктуры и объектов, не связанных с созданием лесной инфраструктуры и (или) их замены на другие до начала рубки лесных насаждений; 5) внесения изменений в материалы отвода и таксации лесосек при обнаружении ошибок до начала рубки лесных насаждений. В случае внесения изменений в лесную декларацию в течение декларируемого периода лицо, подавшее лесную декларацию, направляет в уполномоченный орган письменное заявление в произвольной форме с указанием информации о вносимых изменениях, с обоснованием необходимости внесения таких изменений. К письменному заявлению прилагаются документы, обосновывающие необходимость вносимых изменений. "
"Я утерял СНИЛС. Скажите, есть ли какие-нибудь штрафы за его утерю?","Штрафные санкции за утрату страхового свидетельства ОПС законодательством РФ не предусмотрены. Дубликат страхового свидетельства выдается бесплатно.По данному вопросу Вы можете обратиться в Центр 'Мои документы' по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72."
Утеряно свидетельство о регистрации первого брака. При оформлении пенсии требуется справка о регистрации первого брака Можно ли оформить такую справку. Я живу в Екатеринбурге,"В МФЦ г. Читы данная услуга не оказывается, Вы можете обратиться в ЗАГС г. Екатеринбурга и запросить данную справку по принципу экстерриториальности."
"Как определяется срок нахождения недвижимого имущества в собственности налогоплательщика (продавца), если договор об отчуждении этого имущества датирован концом одного календарного года, а дата проведенной покупателем государственной регистрации права собственности относится к следующему за ним календарному году?  За какой календарный год налогоплательщик (продавец) обязан представить налоговую декларацию  по форме 3-НДФЛ? ","Если договор об отчуждении имущества датирован концом одного года, а государственная регистрация права на это имущество проведена в начале следующего года, то налогоплательщик (продавец), отчуждающий имущество, теряет право собственности с момента государственной регистрации права собственности приобретателем (покупателем). При этом, если налогоплательщик (продавец) получил доход от продажи имущества в конце года, а государственная регистрация перехода права собственности зарегистрирована в следующем году, то отчитываться по полученному доходу налогоплательщик (продавец) будет за тот налоговый период, в котором был фактически получен указанный доход."
Необходимо ли подтверждать регистрацией право собственности при принятии наследства? ,"Право при наследовании объектов недвижимости возникает в момент его принятия ч.4 ст.1152 ГК РФ и подтверждается регистрацией права по желанию собственника (если это свидетельство о праве на наследство по закону, по завещанию).В случае, если наследуется объект недвижимости из общего совместного имущества, как правило, выдается еще и свидетельство о праве собственности на долю в общем имуществе супругов - право возникает с момента внесения записей в ЕГРН, и оно подлежит обязательной государственной регистрации."
Как перейти из пенсионного фонда сбербанка в государственный пенсионный фонд? Как узнать о своих пенсионных накоплениях?,"На базе Центра 'Мои Документы' прием заявлений о переходе из негосударственного пенсионного фонда в Пенсионный фонд РФ не осуществляется.Для информирования застрахованного лица о состоянии его индивидуального лицевого счета в системе обязательного пенсионного страхования Вы можете обратиться непосредственно в Пенсионный фонд РФ по месту жительства или Центр 'Мои Документы' с документом, удостоверяющим личность, воспользоваться сервисом 'Личный кабинет застрахованного лица' на сайте Пенсионного фонда РФ или Единым порталом государственных и муниципальных услуг при наличии подтвержденной учетной записи. "
реквизиты оплаты госпошлины на замену паспорта при достижении 20 лет,"Для оплаты государственной пошлины за замену паспорта гражданина Российской Федерации при достижении 20летнего возраста необходимо указать следующие реквизиты:Получатель: УФК по Забайкальскому краю (УМВД России по Забайкальскому краю)ИНН  7536093338КПП  753601001Счет №  40101810200000010001 Банк получателя: ОТДЕЛЕНИЕ ЧИТАБИК 047601001ОКТМО  76701000 (г. Чита) в крае у каждого поселения своё ОКТМОКБК необходимо выбрать:- при обращении через МФЦ - 188 1 08 07100 01 8034 110,- при обращении через УМВД- 188 108 07100 01 0034 110."
"Четыре месяца назад уволилась с должности заведующего детским садом в связи с переездом.Могу ли я встать на учет в службе занятости, если не хочу работать по специальности?","По вопросу постановки на учет в качестве безработного рекомендуем Вам обратиться в отдел ГКУ 'Краевой центр занятости населения' Забайкальского края по новому месту Вашего жительства. Телефоны 'горячей линии' для граждан - (3022) 26-79-80, 26-89-17, 32-01-49. "
как получить разрешение на произведение земляных работ?,"На базе Центра 'Мои Документы' предоставляется услуга 'Выдача ордеров на проведение земляных работ' Комитета городского хозяйства Администрации городского округа «Город Чита».С перечнем необходимых документов, сроком оказания услуги и дополнительной информацией Вы можете ознакомиться, пройдя по ссылке: http://www.mfc-chita.ru/filial/chita/uslugi-mfc/3176.Центр 'Мои Документы' расположен по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов. Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем Вам уточнить график работы по телефону Центра телефонного обслуживания 8(3022)21-10-10. Дополнительно сообщаем, что на площадке Центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по вышеуказанному телефону."
"Что делать, если я не забрала документы в срок?","Соглашениями о взаимодействии с органами-участниками МФЦ предусмотрен срок хранения документов на базе МФЦ, как правило такой срок составляет не более 30 дней с момента оказания услуги, исключения составляют, к примеру, срок хранения невостребованного государственного сертификата на материнский (семейный) капитал – в течение 90 дней со дня получения государственного сертификата, бланк уведомления о прибытии в рамках осуществления миграционного учета хранится в МФЦ в течение 1 года и др., по ряду услуг хранение в МФЦ не предусмотрено.По истечении срока хранения в МФЦ не полученные заявителем документы возвращаются в Орган, оказывающий услугу, куда Вам следует обратиться за их получением. Если же Вы подавали документы по услугам Россреестра и Кадастровой палаты, то непосредственно в МФЦ Вы можете написать заявление для получения невостребованных документов, которые будут выданы в МФЦ по месту подачи документов.Для получения обстоятельного ответа на Ваш вопрос необходимо знать, документы на получение какой услуги Вы подавали. Предлагаем связаться с нами по телефону Центра телефонного обслуживания 8(3022)21-10-10. "
Недавно я получила государственную услугу и мне пришло SMS-сообщение с просьбой оценить качество предоставленной государственной услуги по пятибалльной шкале. Что я должна написать в ответном сообщении и является ли оно бесплатным для меня?,"Постановлением Правительства РФ от 12.12.2012 г. № 1284 определены основные критерии и порядок оценки гражданами эффективности деятельности руководителей территориальных органов федеральных органов исполнительной власти (их структурных подразделений) и территориальных органов государственных внебюджетных фондов (их региональных отделений) с учетом качества предоставления ими государственных услуг, а  также применения результатов указанной оценки как основания для принятия решений о  досрочном прекращении исполнения руководителями своих должностных обязанностей.В целях реализации положений указанного постановления Правительства, на территории РФ разработана и введена в эксплуатацию информационно-аналитическая система мониторинга качества государственных услуг (ИАС МКГУ).ИАС МКГУ аккумулирует оценки и мнения граждан о качестве полученных ими государственных услуг, на основании которых осуществляется анализ качества предоставления услуг и расчет показателей эффективности деятельности руководителей территориальных органов федеральных органов власти и государственных внебюджетных фондов.Механизм оценки распространен на социально значимые и массовые федеральные государственные услуги МВД России, ФНС России, Росреестра, Пенсионного фонда Российской Федерации, Фонда социального страхования Российской Федерации, Росгвардии, ФССП России, Росимущества и Роспотребнадзора, оказание которых осуществляется через территориальные органы ведомств и МФЦ.Государственные услуги оцениваются по следующим каналам:- личные мобильные телефоны (смс-опросы и телефонные опросы граждан, отрицательно оценивших качество предоставленных им государственных услуг);- терминальные и иные устройства, расположенные в территориальных органах ведомств, а также в МФЦ;- сеть Интернет (Единый портал госуслуг, официальные сайты ведомств, сайт «Ваш контроль»).На сайте «Ваш контроль» (https://vashkontrol.ru) гражданину предоставлена возможность разместить отзыв о качестве предоставления государственной услуги."
"Мой бывший муж получил свидетельство о расторжении брака, а я не получила. Скажите, нужно ли мне самой получать свидетельство или будет достаточно документа супруга?","Вам необходимо получить свой документ о государственной регистрации расторжения брака. Предоставление государственной услуги по государственной регистрации расторжения брака начинается подачей лицами (лицом), расторгающими брак, заявления о расторжении брака и оканчивается выдачей каждому из заявителей свидетельства о расторжении брака с одновременным проставлением каждому штампов о расторжении брака в паспорте РФ в день составления органом ЗАГС записи акта о расторжении брака. Свидетельства о расторжении брака являются именными документами, поэтому представление одним лицом, расторгнувшим брак, в подтверждение расторжения брака свидетельства о расторжении брака, выданного на имя другого лица, противоречит действующему законодательству. Согласно пункту 2 статьи 25 Семейного кодекса Российской Федерации супруги не вправе вступить в новый брак до получения свидетельства о расторжении брака в органе ЗАГС по месту жительства любого из них или по месту государственной регистрации заключения брака.  "
Какая очередь в детский сад?,"Данную информацию Вы можете уточнить по телефону Комитета образования администрации городского округа «Город Чита» 32-41-13, либо на сайте Комитета образования администрации городского округа «Город Чита» https://edu-chita.ru/. Так же Вы можете лично обратиться в Центр 'Мои документы', предоставив паспорт гражданина РФ и свидетельство о рождении ребенка.Для самостоятельного получения информации о позиции ребенка в очереди на получение места в детский сад, без посещения МФЦ, необходимо:1.Зайти на сайт Комитета образования;2.В верхней части страницы зайти в раздел E-услуги, после перенаправления на сайт «Электронные услуги в сфере образования» выбрать «Поиск заявлений»;3.Выбрать муниципалитет, выбрать поиск по номеру заявления или по документам ребенка;4. Ввести номер Вашего обращения (заявления) 76401/33/******** (* цифры Вашего заявления после знака «/», где ЗЗ – это БУКВЫ, не цифры) или серию и номер документа ребенка;4.Далее выбрать «Найти заявление».  "
Можно ли в МФЦ получить сведения о налоговой задолженности и в случае её наличия получить квитанцию для ее погашения? ,"При получении государственных и муниципальных услуг в Центре 'Мои документы' Вы можете узнать о наличии или отсутствии у Вас налоговой задолженности по транспортному, земельному налогам, налогу на имущество физических лиц и, в случае её наличия, получить распечатанную квитанцию для погашения этой задолженности без личного визита в налоговую инспекцию. Для получения данной услуги при себе необходимо иметь паспорт, ИНН. Произвести оплату Вы можете: в банке по квитанции, на сайте налоговой службы nalog.ru посредством сервиса «Заплати налоги» или через «Личный кабинет».  "
"Хочу вернуть девичью фамилию после развода, какие документы нужны и сумма гос пошлины?","В том случае, если при расторжении брака Вы не сменили фамилию и желаете это сделать сейчас, Вам необходимо обратиться в Отдел ЗАГС по месту Вашего жительства с заявлением о перемени имени. Впоследствии в центре 'Мои Документы' Вы сможете заменить паспорт, для этого необходимо подготовить следующий пакет документов:1. Заявление о выдаче (замене) паспорта по форме № 1П – заполняется на месте;2. Две личные фотографии в черно-белом или цветном исполнении  размером 35 х 45 мм;3. Паспорт гражданина РФ,4. Свидетельство о перемени имени;5. Квитанция оплаты государственной пошлины в размере – 300 рублей;6. Документы, необходимые для проставления обязательных отметок в паспорте:- документы воинского учета (при наличии соответствующего основания),- свидетельства о рождении детей, не достигших 14-летнего возраста (при наличии),- документы, подтверждающие регистрацию по месту жительства (при наличии регистрации по месту жительства).Паспорт РФ оформляется в 10-дневный срок в случае обращения гражданина по месту жительства, в 30-дневный срок в случае обращения гражданина по вопросу выдачи или замены паспорта не по месту жительства.После замены паспорта гражданина РФ в центре 'Мои Документы' Вы также можете заменить СНИЛС, ИНН, медицинский полис, водительское удостоверение.Центр «Мои документы» расположен по адресам: г. Чита, ул. Генерала Белика, 12 и ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов. Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем Вам уточнить график работы по телефону Центра телефонного обслуживания 8(3022)21-10-10. Дополнительно сообщаем, что на площадке Центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по вышеуказанному телефону."
